timestamp,time_s,disp_mm,disp_ul,raw_V,avg_V
2026-06-12T17:47:03.658131,2.290544,4.581088,80.497208,1.021932,1.014608
2026-06-12T17:47:03.667113,2.300868,4.601737,80.860037,1.018707,1.014608
2026-06-12T17:47:03.680027,2.311284,4.622568,81.226076,1.016128,1.015897
2026-06-12T17:47:03.687717,2.321603,4.643206,81.588716,1.018062,1.018523
2026-06-12T17:47:03.699862,2.332135,4.664270,81.958855,1.007100,1.017371
2026-06-12T17:47:03.708787,2.342167,4.684334,82.311398,0.911336,1.002263
2026-06-12T17:47:03.721657,2.352870,4.705741,82.687561,0.871353,0.980660
2026-06-12T17:47:03.729476,2.363057,4.726114,83.045545,0.890700,0.961912
2026-06-12T17:47:03.741489,2.373688,4.747376,83.419156,0.947449,0.951732
2026-06-12T17:47:03.750403,2.384022,4.768044,83.782330,0.980337,0.946620
2026-06-12T17:47:03.763160,2.394541,4.789081,84.151988,0.995814,0.943441
2026-06-12T17:47:03.771081,2.404828,4.809657,84.513528,1.002263,0.942750
2026-06-12T17:47:03.783989,2.415743,4.831486,84.897099,1.003875,0.955970
2026-06-12T17:47:03.792118,2.426000,4.852000,85.257578,1.001941,0.974626
2026-06-12T17:47:03.804990,2.436285,4.872570,85.619023,1.000006,0.990241
2026-06-12T17:47:03.812752,2.446292,4.892584,85.970691,0.962926,0.992452
2026-06-12T17:47:03.824812,2.456389,4.912778,86.325547,0.966472,0.990471
2026-06-12T17:47:03.835167,2.466508,4.933016,86.681151,0.989366,0.989550
2026-06-12T17:47:03.846274,2.477671,4.955342,87.073455,1.000651,0.989319
2026-06-12T17:47:03.858163,2.488778,4.977556,87.463788,1.002585,0.989135
2026-06-12T17:47:03.867145,2.497582,4.995164,87.773189,1.004520,0.989504
2026-06-12T17:47:03.875077,2.508678,5.017357,88.163160,0.986141,0.987523
2026-06-12T17:47:03.884632,2.518006,5.036012,88.490959,0.966472,0.988030
2026-06-12T17:47:03.896889,2.527897,5.055794,88.838568,0.990655,0.991484
2026-06-12T17:47:03.904949,2.538262,5.076525,89.202835,1.004198,0.993603
2026-06-12T17:47:03.916504,2.548878,5.097756,89.575906,0.999683,0.993465
2026-06-12T17:47:03.925983,2.559192,5.118384,89.938370,1.009357,0.994432
2026-06-12T17:47:03.938105,2.569211,5.138422,90.290467,1.010324,0.995261
2026-06-12T17:47:03.946506,2.579716,5.159432,90.659661,0.993880,0.996367
2026-06-12T17:47:03.958810,2.590133,5.180266,91.025745,0.989043,0.999591
